Window_Index,Anomaly_Scenario,True_Root_Sensor,Predicted_Root_Sensor,Match,Original_Score,Clamped_Score,Threshold,Score_Drop_Percent,Faithfulness_Passed,Validity_Passed,Sparsity,Latency_ms
3366,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.23369,0.04995,0.12567,78.63,True,True,4,5.0
3367,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.22156,0.04081,0.12567,81.58,True,True,3,4.95
3368,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.24521,0.04585,0.12567,81.3,True,True,4,4.96
3369,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.24124,0.04372,0.12567,81.88,True,True,3,4.78
3370,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.26034,0.04615,0.12567,82.27,True,True,4,6.22
3371,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.28222,0.052,0.12567,81.58,True,True,5,4.89
3372,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.25377,0.04471,0.12567,82.38,True,True,4,5.14
3373,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.26371,0.04403,0.12567,83.3,True,True,4,5.17
3374,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.26548,0.04454,0.12567,83.22,True,True,4,4.95
3375,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.28095,0.04765,0.12567,83.04,True,True,4,4.73
3376,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.26753,0.04115,0.12567,84.62,True,True,3,4.66
3377,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.28556,0.05174,0.12567,81.88,True,True,5,4.61
3378,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.27677,0.04799,0.12567,82.66,True,True,4,4.69
3379,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.25955,0.03621,0.12567,86.05,True,True,3,5.23
3380,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.27272,0.04387,0.12567,83.91,True,True,4,4.88
3381,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.28944,0.04682,0.12567,83.82,True,True,4,4.72
3382,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.28368,0.04727,0.12567,83.34,True,True,4,4.85
3383,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.28573,0.04316,0.12567,84.89,True,True,4,4.68
3384,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.27861,0.0409,0.12567,85.32,True,True,3,5.3
3385,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.28029,0.04351,0.12567,84.48,True,True,4,4.71
3386,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.28412,0.04058,0.12567,85.72,True,True,3,5.0
3387,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.29457,0.04289,0.12567,85.44,True,True,3,5.1
3388,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.30256,0.04805,0.12567,84.12,True,True,4,4.63
3389,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.29931,0.04828,0.12567,83.87,True,True,5,5.08
3390,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.31749,0.04667,0.12567,85.3,True,True,4,4.79
3391,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.30166,0.0478,0.12567,84.16,True,True,4,4.99
3392,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.29056,0.0423,0.12567,85.44,True,True,3,4.97
3393,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.31219,0.04647,0.12567,85.11,True,True,4,5.21
3394,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.32778,0.05047,0.12567,84.6,True,True,5,4.64
3395,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.30343,0.04459,0.12567,85.31,True,True,4,4.6
3396,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.31994,0.05033,0.12567,84.27,True,True,4,4.69
3397,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.31463,0.05006,0.12567,84.09,True,True,4,5.09
3398,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.35761,0.05714,0.12567,84.02,True,True,4,4.47
